num_of_agents,num_of_items_per_agent,L,random_valuation,D,num_of_items,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,4,1,geometric_distribution,6,16,2883,16,64,2883,16,64
4,4,2,geometric_distribution,10,16,1959,14,57,1928,14,56
4,4,3,geometric_distribution,14,16,1591,14,56,1551,13,55
4,4,4,geometric_distribution,18,16,82,0,1,0,0,0
4,4,5,geometric_distribution,22,16,0,0,0,0,0,0
4,4,6,geometric_distribution,26,16,0,0,0,0,0,0
4,4,7,geometric_distribution,30,16,0,0,0,0,0,0
4,4,8,geometric_distribution,34,16,0,0,0,0,0,0
4,4,9,geometric_distribution,38,16,0,0,0,0,0,0
4,8,1,geometric_distribution,6,32,5534,16,65,5534,16,65
4,8,2,geometric_distribution,10,32,4779,18,75,4778,18,75
4,8,3,geometric_distribution,14,32,5005,16,67,4995,16,67
4,8,4,geometric_distribution,18,32,3835,15,63,3756,15,61
4,8,5,geometric_distribution,22,32,3358,14,58,3335,14,58
4,8,6,geometric_distribution,26,32,4396,12,49,4026,11,45
4,8,7,geometric_distribution,30,32,1740,5,20,1169,3,14
4,8,8,geometric_distribution,34,32,588,2,10,0,0,0
4,8,9,geometric_distribution,38,32,39,0,0,0,0,0
4,12,1,geometric_distribution,6,48,7502,16,66,7502,16,66
4,12,2,geometric_distribution,10,48,10750,19,77,10738,19,77
4,12,3,geometric_distribution,14,48,8833,20,83,8820,20,83
4,12,4,geometric_distribution,18,48,8969,20,81,8932,20,81
4,12,5,geometric_distribution,22,48,7685,17,71,7645,17,70
4,12,6,geometric_distribution,26,48,6816,20,80,6780,19,79
4,12,7,geometric_distribution,30,48,6972,14,56,6734,13,54
4,12,8,geometric_distribution,34,48,4708,11,45,4536,10,43
4,12,9,geometric_distribution,38,48,4172,9,37,4014,9,36
4,16,1,geometric_distribution,6,64,12476,16,66,12476,16,66
4,16,2,geometric_distribution,10,64,11955,19,79,11954,19,79
4,16,3,geometric_distribution,14,64,12809,21,85,12801,21,84
4,16,4,geometric_distribution,18,64,13009,21,84,12996,21,84
4,16,5,geometric_distribution,22,64,15715,21,84,15635,21,84
4,16,6,geometric_distribution,26,64,11543,19,79,11484,19,79
4,16,7,geometric_distribution,30,64,13791,19,78,13727,19,78
4,16,8,geometric_distribution,34,64,12183,17,68,11952,16,67
4,16,9,geometric_distribution,38,64,9182,15,63,9072,15,63
4,20,1,geometric_distribution,6,80,12081,16,66,12081,16,66
4,20,2,geometric_distribution,10,80,14682,19,79,14672,19,79
4,20,3,geometric_distribution,14,80,19573,21,85,19557,21,85
4,20,4,geometric_distribution,18,80,16915,22,88,16900,22,88
4,20,5,geometric_distribution,22,80,22126,22,88,22105,22,88
4,20,6,geometric_distribution,26,80,13537,21,84,13488,21,84
4,20,7,geometric_distribution,30,80,14690,20,80,14658,19,79
4,20,8,geometric_distribution,34,80,14172,20,81,14088,20,81
4,20,9,geometric_distribution,38,80,14235,19,78,14166,19,78
4,24,1,geometric_distribution,6,96,16893,16,66,16893,16,66
4,24,2,geometric_distribution,10,96,25069,19,79,25066,19,79
4,24,3,geometric_distribution,14,96,17452,21,85,17442,21,85
4,24,4,geometric_distribution,18,96,20291,22,88,20268,22,88
4,24,5,geometric_distribution,22,96,20766,22,90,20745,22,90
4,24,6,geometric_distribution,26,96,17720,21,84,17634,21,84
4,24,7,geometric_distribution,30,96,23726,20,83,23653,20,83
4,24,8,geometric_distribution,34,96,19299,20,83,19120,20,83
4,24,9,geometric_distribution,38,96,20795,20,83,20745,20,83
4,28,1,geometric_distribution,6,112,17884,16,66,17884,16,66
4,28,2,geometric_distribution,10,112,23002,19,79,22998,19,79
4,28,3,geometric_distribution,14,112,22282,21,85,22275,21,85
4,28,4,geometric_distribution,18,112,22719,22,88,22704,22,88
4,28,5,geometric_distribution,22,112,23915,22,90,23895,22,90
4,28,6,geometric_distribution,26,112,25727,22,91,25710,22,91
4,28,7,geometric_distribution,30,112,22463,22,88,22421,22,88
4,28,8,geometric_distribution,34,112,20939,22,89,20840,22,88
4,28,9,geometric_distribution,38,112,22861,20,83,22824,20,82
4,32,1,geometric_distribution,6,128,22647,16,66,22647,16,66
4,32,2,geometric_distribution,10,128,28709,19,79,28706,19,79
4,32,3,geometric_distribution,14,128,23698,21,85,23691,21,85
4,32,4,geometric_distribution,18,128,28666,22,88,28660,22,88
4,32,5,geometric_distribution,22,128,27625,22,90,27600,22,90
4,32,6,geometric_distribution,26,128,25327,22,91,25302,22,91
4,32,7,geometric_distribution,30,128,29179,22,91,29106,22,91
4,32,8,geometric_distribution,34,128,35040,23,92,34928,23,92
4,32,9,geometric_distribution,38,128,27654,23,92,27567,23,92
4,36,1,geometric_distribution,6,144,24207,16,66,24207,16,66
4,36,2,geometric_distribution,10,144,26843,19,79,26842,19,79
4,36,3,geometric_distribution,14,144,28253,21,85,28248,21,85
4,36,4,geometric_distribution,18,144,29953,22,88,29936,22,88
4,36,5,geometric_distribution,22,144,35176,22,90,35125,22,90
4,36,6,geometric_distribution,26,144,40116,22,91,40104,22,91
4,36,7,geometric_distribution,30,144,36344,22,91,36330,22,91
4,36,8,geometric_distribution,34,144,34539,22,91,34480,22,91
4,36,9,geometric_distribution,38,144,35847,22,89,35775,22,89
4,40,1,geometric_distribution,6,160,28511,16,66,28511,16,66
4,40,2,geometric_distribution,10,160,33031,19,79,33030,19,79
4,40,3,geometric_distribution,14,160,36869,21,85,36858,21,85
4,40,4,geometric_distribution,18,160,40555,22,88,40548,22,88
4,40,5,geometric_distribution,22,160,35669,22,90,35650,22,90
4,40,6,geometric_distribution,26,160,35733,22,90,35706,22,90
4,40,7,geometric_distribution,30,160,32677,23,92,32634,22,91
4,40,8,geometric_distribution,34,160,35147,23,92,35096,23,92
4,40,9,geometric_distribution,38,160,42282,22,91,42246,22,91
4,44,1,geometric_distribution,6,176,29923,16,66,29923,16,66
4,44,2,geometric_distribution,10,176,36840,19,79,36840,19,79
4,44,3,geometric_distribution,14,176,34902,21,85,34893,21,85
4,44,4,geometric_distribution,18,176,43963,22,88,43956,22,88
4,44,5,geometric_distribution,22,176,44118,22,90,44090,22,90
4,44,6,geometric_distribution,26,176,43861,22,91,43854,22,91
4,44,7,geometric_distribution,30,176,44318,23,92,44163,23,92
4,44,8,geometric_distribution,34,176,41950,23,93,41904,23,93
4,44,9,geometric_distribution,38,176,42604,23,94,42561,23,94
4,48,1,geometric_distribution,6,192,30818,16,66,30818,16,66
4,48,2,geometric_distribution,10,192,32372,19,79,32372,19,79
4,48,3,geometric_distribution,14,192,40584,21,85,40584,21,85
4,48,4,geometric_distribution,18,192,44029,22,88,44024,22,88
4,48,5,geometric_distribution,22,192,44904,22,90,44875,22,90
4,48,6,geometric_distribution,26,192,43456,23,92,43422,22,91
4,48,7,geometric_distribution,30,192,42308,23,92,42294,23,92
4,48,8,geometric_distribution,34,192,45805,23,92,45776,23,92
4,48,9,geometric_distribution,38,192,42727,23,93,42705,23,93
4,52,1,geometric_distribution,6,208,35847,16,66,35847,16,66
4,52,2,geometric_distribution,10,208,40460,19,79,40460,19,79
4,52,3,geometric_distribution,14,208,40841,21,85,40839,21,85
4,52,4,geometric_distribution,18,208,47252,22,88,47240,22,88
4,52,5,geometric_distribution,22,208,55422,22,90,55410,22,90
4,52,6,geometric_distribution,26,208,39835,23,92,39828,23,92
4,52,7,geometric_distribution,30,208,50847,23,92,50827,23,92
4,52,8,geometric_distribution,34,208,47516,23,93,47464,23,93
4,52,9,geometric_distribution,38,208,45230,23,93,45180,23,93
4,56,1,geometric_distribution,6,224,36197,16,66,36197,16,66
4,56,2,geometric_distribution,10,224,43823,19,79,43822,19,79
4,56,3,geometric_distribution,14,224,54127,21,85,54117,21,85
4,56,4,geometric_distribution,18,224,51543,22,88,51536,22,88
4,56,5,geometric_distribution,22,224,51892,22,90,51875,22,90
4,56,6,geometric_distribution,26,224,50588,23,92,50562,23,92
4,56,7,geometric_distribution,30,224,57329,23,93,57288,23,93
4,56,8,geometric_distribution,34,224,51490,23,93,51472,23,93
4,56,9,geometric_distribution,38,224,55250,23,94,55215,23,94
4,60,1,geometric_distribution,6,240,38304,16,66,38304,16,66
