num_of_agents,num_of_items_per_agent,L,random_valuation,D,num_of_items,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
4,4,1,uniform_distribution_high,6,16,3279,13,54,3279,13,54
4,4,2,uniform_distribution_high,10,16,3717,15,63,3612,15,61
4,4,3,uniform_distribution_high,14,16,4562,18,72,4350,17,69
4,4,4,uniform_distribution_high,18,16,2201,9,38,0,0,0
4,4,5,uniform_distribution_high,22,16,0,0,0,0,0,0
4,4,6,uniform_distribution_high,26,16,0,0,0,0,0,0
4,4,7,uniform_distribution_high,30,16,0,0,0,0,0,0
4,4,8,uniform_distribution_high,34,16,0,0,0,0,0,0
4,4,9,uniform_distribution_high,38,16,0,0,0,0,0,0
4,8,1,uniform_distribution_high,6,32,7156,15,63,7156,15,63
4,8,2,uniform_distribution_high,10,32,9272,19,76,9264,19,76
4,8,3,uniform_distribution_high,14,32,9357,19,77,9246,19,76
4,8,4,uniform_distribution_high,18,32,7468,15,63,7164,15,61
4,8,5,uniform_distribution_high,22,32,7772,16,67,7660,16,66
4,8,6,uniform_distribution_high,26,32,9340,18,73,8934,17,70
4,8,7,uniform_distribution_high,30,32,8558,17,71,8183,17,68
4,8,8,uniform_distribution_high,34,32,6438,13,54,0,0,0
4,8,9,uniform_distribution_high,38,32,3065,6,25,0,0,0
4,12,1,uniform_distribution_high,6,48,11980,16,65,11980,16,65
4,12,2,uniform_distribution_high,10,48,12235,17,69,12232,17,69
4,12,3,uniform_distribution_high,14,48,14181,19,78,14178,19,78
4,12,4,uniform_distribution_high,18,48,13963,18,72,13928,18,72
4,12,5,uniform_distribution_high,22,48,15440,21,84,15405,21,84
4,12,6,uniform_distribution_high,26,48,13930,18,73,11850,15,62
4,12,7,uniform_distribution_high,30,48,12520,17,68,12019,16,65
4,12,8,uniform_distribution_high,34,48,13698,18,74,13360,18,72
4,12,9,uniform_distribution_high,38,48,13447,18,75,12501,17,69
4,16,1,uniform_distribution_high,6,64,15069,15,63,15069,15,63
4,16,2,uniform_distribution_high,10,64,17736,19,76,17694,19,76
4,16,3,uniform_distribution_high,14,64,18769,19,78,18762,19,78
4,16,4,uniform_distribution_high,18,64,18591,19,79,18568,19,78
4,16,5,uniform_distribution_high,22,64,19701,20,82,16670,17,69
4,16,6,uniform_distribution_high,26,64,19095,20,80,19068,19,79
4,16,7,uniform_distribution_high,30,64,21564,22,88,21532,22,88
4,16,8,uniform_distribution_high,34,64,18810,20,80,15672,16,67
4,16,9,uniform_distribution_high,38,64,17010,17,71,16335,17,68
4,20,1,uniform_distribution_high,6,80,20305,16,65,20305,16,65
4,20,2,uniform_distribution_high,10,80,24575,19,79,24574,19,79
4,20,3,uniform_distribution_high,14,80,23657,19,78,23634,19,77
4,20,4,uniform_distribution_high,18,80,24963,20,82,24940,20,82
4,20,5,uniform_distribution_high,22,80,24331,20,80,24170,19,79
4,20,6,uniform_distribution_high,26,80,26597,22,88,26484,22,88
4,20,7,uniform_distribution_high,30,80,22246,19,76,22141,18,75
4,20,8,uniform_distribution_high,34,80,24468,20,83,24360,20,83
4,20,9,uniform_distribution_high,38,80,26902,22,89,26802,22,89
4,24,1,uniform_distribution_high,6,96,23564,16,66,23564,16,66
4,24,2,uniform_distribution_high,10,96,27127,19,76,27124,19,76
4,24,3,uniform_distribution_high,14,96,28820,20,81,27819,19,78
4,24,4,uniform_distribution_high,18,96,30923,21,84,30868,21,84
4,24,5,uniform_distribution_high,22,96,30814,21,85,30780,21,85
4,24,6,uniform_distribution_high,26,96,28821,19,79,28800,19,79
4,24,7,uniform_distribution_high,30,96,31961,22,88,31836,21,87
4,24,8,uniform_distribution_high,34,96,28754,19,79,26688,18,74
4,24,9,uniform_distribution_high,38,96,30678,20,81,30519,20,80
4,28,1,uniform_distribution_high,6,112,28327,16,65,28327,16,65
4,28,2,uniform_distribution_high,10,112,33375,19,78,33374,19,78
4,28,3,uniform_distribution_high,14,112,36377,21,85,36348,21,85
4,28,4,uniform_distribution_high,18,112,35532,21,86,35504,21,86
4,28,5,uniform_distribution_high,22,112,37916,22,89,37870,22,89
4,28,6,uniform_distribution_high,26,112,37409,21,87,37368,21,87
4,28,7,uniform_distribution_high,30,112,34550,20,81,34475,20,81
4,28,8,uniform_distribution_high,34,112,36273,21,87,36088,21,87
4,28,9,uniform_distribution_high,38,112,39040,22,89,31536,18,72
4,32,1,uniform_distribution_high,6,128,32431,16,65,32431,16,65
4,32,2,uniform_distribution_high,10,128,36994,19,76,36988,19,76
4,32,3,uniform_distribution_high,14,128,40388,21,84,40386,21,84
4,32,4,uniform_distribution_high,18,128,41985,21,87,41976,21,87
4,32,5,uniform_distribution_high,22,128,40180,21,84,39150,20,82
4,32,6,uniform_distribution_high,26,128,42376,22,88,38346,20,80
4,32,7,uniform_distribution_high,30,128,42349,22,89,42322,22,89
4,32,8,uniform_distribution_high,34,128,39104,20,81,39016,20,81
4,32,9,uniform_distribution_high,38,128,41753,21,87,41598,21,86
4,36,1,uniform_distribution_high,6,144,35921,16,66,35921,16,66
4,36,2,uniform_distribution_high,10,144,42611,19,78,42608,19,78
4,36,3,uniform_distribution_high,14,144,45646,21,84,45636,21,84
4,36,4,uniform_distribution_high,18,144,47783,22,88,47756,22,88
4,36,5,uniform_distribution_high,22,144,47172,21,86,47085,21,85
4,36,6,uniform_distribution_high,26,144,45627,21,86,45546,21,85
4,36,7,uniform_distribution_high,30,144,44998,20,83,43960,20,82
4,36,8,uniform_distribution_high,34,144,46358,22,90,46328,22,90
4,36,9,uniform_distribution_high,38,144,45080,20,83,43911,20,81
4,40,1,uniform_distribution_high,6,160,39290,16,65,39290,16,65
4,40,2,uniform_distribution_high,10,160,46913,19,79,46908,19,79
4,40,3,uniform_distribution_high,14,160,49637,20,83,49632,20,83
4,40,4,uniform_distribution_high,18,160,50139,21,86,48136,20,82
4,40,5,uniform_distribution_high,22,160,51906,22,88,51850,22,88
4,40,6,uniform_distribution_high,26,160,55218,22,90,55116,22,90
4,40,7,uniform_distribution_high,30,160,52961,22,89,52934,22,89
4,40,8,uniform_distribution_high,34,160,50503,21,84,50480,21,84
4,40,9,uniform_distribution_high,38,160,55568,22,91,55467,22,91
4,44,1,uniform_distribution_high,6,176,43395,16,66,43395,16,66
4,44,2,uniform_distribution_high,10,176,51640,19,78,51638,19,78
4,44,3,uniform_distribution_high,14,176,54888,20,83,54870,20,83
4,44,4,uniform_distribution_high,18,176,56255,21,84,56236,21,84
4,44,5,uniform_distribution_high,22,176,59374,22,90,59330,22,90
4,44,6,uniform_distribution_high,26,176,55261,21,84,55230,21,84
4,44,7,uniform_distribution_high,30,176,59082,22,88,56028,20,83
4,44,8,uniform_distribution_high,34,176,61714,22,91,61600,22,91
4,44,9,uniform_distribution_high,38,176,57856,21,86,57528,21,85
4,48,1,uniform_distribution_high,6,192,48391,16,66,48391,16,66
4,48,2,uniform_distribution_high,10,192,56629,19,79,56628,19,79
4,48,3,uniform_distribution_high,14,192,59917,20,82,59904,20,82
4,48,4,uniform_distribution_high,18,192,60084,21,85,60076,21,85
4,48,5,uniform_distribution_high,22,192,62158,21,85,62135,21,85
4,48,6,uniform_distribution_high,26,192,64124,22,88,64068,22,88
